62

Area    Aspect_Ratio
210     4
130     4
224     4
260     4
208     4
294     4
323     4
266     4
441     4
340     4
143     4
168     4
342     4
357     4
420     4
147     4
380     4
144     4
187     4
240     4
140     4
304     4
300     4
162     4
252     4
196     4
176     4
144     4
221     4
130     4
182     4
136     4
399     4
210     4
150     4
108     4
357     4
144     4
252     4
135     4
204     4
204     4
99      4    
160     4
357     4
260     4
190     4
280     4
180     4
104     4
198     4
160     4
200     4
361     4
231     4
140     4
77      4
187     4
231     4
91      4
210     4
272     4

W    117.124
H    117.124
